genre,rating
Drama,9.37
Romance,9.37
School,9.37
Supernatural,9.37
Action,9.26
Adventure,9.26
Drama,9.26
Fantasy,9.26
Magic,9.26
Military,9.26
Shounen,9.26
Action,9.25
Comedy,9.25
Historical,9.25
Parody,9.25
Samurai,9.25
Sci-Fi,9.25
Shounen,9.25
Sci-Fi,9.17
Thriller,9.17
Action,9.16
Comedy,9.16
Historical,9.16
Parody,9.16
Samurai,9.16
Sci-Fi,9.16
Shounen,9.16
Comedy,9.15
Drama,9.15
School,9.15
Shounen,9.15
Sports,9.15
Action,9.13
Adventure,9.13
Shounen,9.13
Super Power,9.13
Drama,9.11
Military,9.11
Sci-Fi,9.11
Space,9.11
Action,9.1
Comedy,9.1
Historical,9.1
Parody,9.1
Samurai,9.1
Sci-Fi,9.1
Shounen,9.1
Action,9.11
Comedy,9.11
Historical,9.11
Parody,9.11
Samurai,9.11
Sci-Fi,9.11
Shounen,9.11
Drama,9.06
Fantasy,9.06
Romance,9.06
Slice of Life,9.06
Supernatural,9.06
Drama,9.05
School,9.05
Shounen,9.05
Action,9.04
Comedy,9.04
Historical,9.04
Parody,9.04
Samurai,9.04
Sci-Fi,9.04
Shounen,9.04
Action,8.98
Drama,8.98
Mecha,8.98
Military,8.98
Sci-Fi,8.98
Super Power,8.98
Comedy,8.93
Drama,8.93
School,8.93
Shounen,8.93
Sports,8.93
Adventure,8.93
Drama,8.93
Supernatural,8.93
Drama,8.92
Music,8.92
Romance,8.92
School,8.92
Shounen,8.92
Adventure,8.88
Fantasy,8.88
Historical,8.88
Mystery,8.88
Seinen,8.88
Slice of Life,8.88
Supernatural,8.88
Fantasy,8.84
Slice of Life,8.84
Action,8.83
Mecha,8.83
Military,8.83
School,8.83
Sci-Fi,8.83
Super Power,8.83
Comedy,8.83
Drama,8.83
Shounen,8.83
Sports,8.83
Action,8.83
Drama,8.83
Historical,8.83
Martial Arts,8.83
Romance,8.83
Samurai,8.83
Action,8.82
Adventure,8.82
Comedy,8.82
Drama,8.82
Sci-Fi,8.82
Space,8.82
Action,8.82
Comedy,8.82
Parody,8.82
Sci-Fi,8.82
Seinen,8.82
Super Power,8.82
Supernatural,8.82
Action,8.81
Adventure,8.81
Fantasy,8.81
Comedy,8.81
Mystery,8.81
Romance,8.81
School,8.81
Sci-Fi,8.81
Supernatural,8.81
Comedy,8.8
Mystery,8.8
Romance,8.8
Supernatural,8.8
Vampire,8.8
Adventure,8.8
Fantasy,8.8
Historical,8.8
Mystery,8.8
Seinen,8.8
Slice of Life,8.8
Supernatural,8.8
Adventure,8.78
Fantasy,8.78
Historical,8.78
Mystery,8.78
Seinen,8.78
Slice of Life,8.78
Supernatural,8.78
Action,8.78
Adventure,8.78
Comedy,8.78
Mecha,8.78
Sci-Fi,8.78
Comedy,8.77
Drama,8.77
School,8.77
Shounen,8.77
Slice of Life,8.77
Drama,8.76
Fantasy,8.76
Shoujo,8.76
Slice of Life,8.76
Supernatural,8.76
Comedy,8.75
Drama,8.75
Shounen,8.75
Sports,8.75
Adventure,8.75
Fantasy,8.75
Historical,8.75
Mystery,8.75
Seinen,8.75
Slice of Life,8.75
Supernatural,8.75
Drama,8.75
Fantasy,8.75
Shoujo,8.75
Slice of Life,8.75
Supernatural,8.75
Adventure,8.74
Drama,8.74
Fantasy,8.74
Romance,8.74
Action,8.73
Fantasy,8.73
Supernatural,8.73
Thriller,8.73
Action,8.73
Mystery,8.73
Supernatural,8.73
Vampire,8.73
Drama,8.72
Horror,8.72
Mystery,8.72
Police,8.72
Psychological,8.72
Seinen,8.72
Thriller,8.72
Comedy,8.71
Drama,8.71
Romance,8.71
Shounen,8.71
Mystery,8.71
Police,8.71
Psychological,8.71
Supernatural,8.71
Thriller,8.71
Comedy,8.69
Parody,8.69
Action,8.68
Comedy,8.68
School,8.68
Shounen,8.68
Comedy,8.68
Drama,8.68
School,8.68
Shounen,8.68
Sports,8.68
Comedy,8.68
Drama,8.68
Shounen,8.68
Sports,8.68
Action,8.68
Drama,8.68
Mystery,8.68
Romance,8.68
Supernatural,8.68
Thriller,8.68
Drama,8.67
Fantasy,8.67
Shoujo,8.67
Slice of Life,8.67
Supernatural,8.67
Psychological,8.67
Seinen,8.67
Sports,8.67
Adventure,8.66
Fantasy,8.66
Historical,8.66
Mystery,8.66
Seinen,8.66
Slice of Life,8.66
Supernatural,8.66
Mystery,8.65
Psychological,8.65
Seinen,8.65
Supernatural,8.65
Mystery,8.65
Psychological,8.65
Romance,8.65
Fantasy,8.64
Sci-Fi,8.64
Shounen,8.64
Slice of Life,8.64
Comedy,8.64
Demons,8.64
Fantasy,8.64
Shoujo,8.64
Supernatural,8.64
Drama,8.64
Historical,8.64
Seinen,8.64
Thriller,8.64
Drama,8.64
Fantasy,8.64
Psychological,8.64
Thriller,8.64
Action,8.64
Mecha,8.64
Sci-Fi,8.64
Space,8.64
Super Power,8.64
Drama,8.64
Fantasy,8.64
Shoujo,8.64
Slice of Life,8.64
Supernatural,8.64
Drama,8.62
Slice of Life,8.62
Supernatural,8.62
Comedy,8.62
School,8.62
Shounen,8.62
Sports,8.62
Sci-Fi,8.61
Thriller,8.61
Drama,8.61
Romance,8.61
Shoujo,8.61
Supernatural,8.61
Ecchi,8.61
School,8.61
Shounen,8.61
Comedy,8.61
Sports,8.61
Action,8.6
Comedy,8.6
Historical,8.6
Parody,8.6
Samurai,8.6
Sci-Fi,8.6
Shounen,8.6
Action,8.6
Adventure,8.6
Drama,8.6
Shounen,8.6
Supernatural,8.6
Action,8.59
Comedy,8.59
Historical,8.59
Parody,8.59
Samurai,8.59
Sci-Fi,8.59
Shounen,8.59
Action,8.59
Horror,8.59
Military,8.59
Seinen,8.59
Supernatural,8.59
Vampire,8.59
Action,8.59
Drama,8.59
Horror,8.59
Psychological,8.59
Sci-Fi,8.59
Seinen,8.59
Drama,8.59
Historical,8.59
Josei,8.59
Comedy,8.59
Sci-Fi,8.59
Seinen,8.59
Slice of Life,8.59
Space,8.59
Adventure,8.58
Supernatural,8.58
Drama,8.58
Historical,8.58
Comedy,8.58
School,8.58
Shounen,8.58
Sports,8.58
Comedy,8.58
Drama,8.58
Romance,8.58
Sports,8.58
Action,8.58
Adventure,8.58
Comedy,8.58
Drama,8.58
Fantasy,8.58
Shounen,8.58
Super Power,8.58
Action,8.57
Mecha,8.57
Military,8.57
Mystery,8.57
Police,8.57
Sci-Fi,8.57
Seinen,8.57
Action,8.57
Adventure,8.57
Comedy,8.57
Drama,8.57
